Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Average SAT score: Mathematics (Items),514,516,519,518,520,518,515,515,515,516,514,514,514,513,511,508,527
    By State,,,,,,,,,,,,,,,,,
        Alabama (Items),554,559,552,553,559,561,556,557,552,550,541,531,534,538,538,551,572
        Alaska (Items),510,519,518,514,519,517,517,520,516,515,511,507,505,503,503,479,533
        Arizona (Items),525,523,525,524,530,528,525,522,521,525,523,525,528,525,527,532,553
        Arkansas (Items),550,556,554,555,552,568,566,567,572,566,570,566,570,571,569,569,594
        California (Items),517,517,519,519,522,518,516,515,513,516,515,512,512,510,506,500,524
        Colorado (Items),542,548,553,553,560,564,565,570,575,572,573,581,581,586,587,589,595
        Connecticut (Items),510,509,514,515,517,516,512,513,513,514,513,512,512,510,506,500,512
        Delaware (Items),499,500,501,499,502,500,496,498,498,495,490,462,457,459,461,453,492
        District of Columbia (Items),474,473,474,476,478,472,462,455,451,464,457,460,466,438,440,433,468
        Florida (Items),499,499,498,499,498,497,496,497,498,498,489,492,490,485,480,475,497
        Georgia (Items),489,491,491,493,496,496,495,493,491,490,487,489,487,485,485,490,515
        Hawaii (Items),515,520,516,514,516,509,506,502,502,505,500,500,504,504,508,511,541
        Idaho (Items),542,541,540,539,542,545,539,540,540,541,539,541,459,456,463,453,493
        Illinois (Items),589,596,596,597,606,609,611,601,604,600,617,615,617,616,616,622,556
        Indiana (Items),501,503,504,506,508,509,507,508,507,505,501,501,500,500,499,499,532
        Iowa (Items),603,602,597,602,608,613,613,612,615,613,606,606,601,611,600,611,635
        Kansas (Items),580,580,582,585,588,590,590,589,589,595,591,594,595,596,592,604,628
        Kentucky (Items),550,552,552,557,559,562,565,570,573,575,572,575,584,585,587,599,616
        Louisiana (Items),562,559,559,561,562,571,567,564,558,550,550,536,553,556,559,577,586
        Maine (Items),,,,,,501,505,465,493,466,467,467,472,467,471,469,499
        Maryland (Items),510,513,515,515,515,509,502,502,502,506,502,502,500,495,493,490,524
        Massachusetts (Items),515,516,522,523,527,524,522,525,526,526,527,530,529,531,529,530,551
        Michigan (Items),572,572,576,573,579,583,579,598,603,605,604,603,610,610,609,608,495
        Minnesota (Items),589,591,591,593,597,600,603,609,609,607,608,606,608,610,607,620,651
        Mississippi (Items),551,547,551,547,554,541,549,556,554,548,543,544,547,566,563,584,607
        Missouri (Items),577,580,583,585,588,591,594,597,600,595,593,592,595,597,599,608,631
        Montana (Items),539,547,543,539,540,545,543,548,542,538,537,536,540,552,556,557,591
        Nebraska (Items),568,570,578,576,579,583,585,585,594,593,591,585,583,587,590,595,625
        Nevada (Items),515,518,517,514,513,508,506,506,505,501,496,493,494,494,494,509,553
        New Hampshire (Items),516,519,521,521,525,524,521,523,523,524,525,525,528,530,530,531,520
        New Jersey (Items),513,513,515,514,517,515,510,513,513,514,516,517,522,523,521,514,526
        New Mexico (Items),542,543,540,543,547,549,546,548,546,549,541,546,545,543,544,545,561
        New York (Items),505,506,510,510,511,510,505,504,502,499,499,500,501,502,502,501,523
        North Carolina (Items),499,505,506,507,511,513,509,511,511,511,508,506,506,507,504,508,535
        North Dakota (Items),599,610,613,601,605,617,596,604,593,594,612,610,609,620,608,594,621
        Ohio (Items),539,540,541,542,543,544,542,544,546,548,545,552,556,562,563,563,570
        Oklahoma (Items),561,562,562,566,563,574,571,572,571,568,565,566,569,571,569,573,517
        Oregon (Items),526,528,527,528,528,529,526,527,525,524,521,523,520,522,521,520,548
        Pennsylvania (Items),499,500,502,502,503,500,499,501,501,501,501,501,504,504,504,506,531
        Rhode Island (Items),499,503,504,502,505,502,498,498,496,495,493,491,490,496,494,491,524
        South Carolina (Items),488,493,496,495,499,498,496,497,496,495,490,488,487,490,487,493,521
        South Dakota (Items),582,586,588,597,589,604,602,596,600,603,591,610,601,609,597,581,603
        Tennessee (Items),553,555,560,557,563,569,569,570,565,571,568,570,569,570,574,582,604
        Texas (Items),499,500,500,499,502,506,507,505,506,505,502,499,499,495,486,478,507
        Utah (Items),570,559,559,556,557,557,556,557,558,559,559,566,566,568,575,579,614
        Vermont (Items),506,510,512,512,517,519,518,523,518,521,518,523,519,525,524,520,551
        Virginia (Items),501,506,510,509,514,513,511,512,512,512,509,512,514,515,516,517,541
        Washington (Items),527,529,532,531,534,532,531,533,531,532,529,530,523,518,510,506,534
        West Virginia (Items),512,515,510,514,511,510,507,501,501,507,501,502,501,505,497,511,528
        Wisconsin (Items),596,599,594,596,599,600,598,604,608,604,602,605,604,608,605,618,649
        Wyoming (Items),545,537,549,546,543,555,571,574,568,567,569,579,588,599,586,600,604
