,STATE,Year,CO (in ppm)
0,Alabama,1980,2.234426229508197
1,Alabama,1981,2.2311461794019936
2,Alabama,1982,2.0289049919484703
3,Alabama,1983,2.6281879194630875
4,Alabama,1984,2.4226955848179705
5,Alabama,1985,2.027469358327325
6,Alabama,1986,2.33296783625731
7,Alabama,1987,2.296934225195095
8,Alabama,1988,2.0219330855018587
9,Alabama,1989,1.8940009229349333
10,Alabama,1990,1.834164705882353
11,Alabama,1991,1.6408876298394712
12,Alabama,1992,1.708287037037037
13,Alabama,1993,1.6930583501006038
14,Alabama,1994,1.6120224719101124
15,Alabama,1995,1.303912828132739
16,Alabama,1996,1.2189133777549974
17,Alabama,1997,1.282488986784141
18,Alabama,1998,1.4455382436260622
19,Alabama,1999,1.7887190684133913
20,Alabama,2000,1.6331914893617023
21,Alabama,2001,2.268198874296435
22,Alabama,2002,1.1782608695652175
23,Alabama,2003,0.77137490608565
24,Alabama,2004,0.9544292237442922
25,Alabama,2005,1.2816836262719704
26,Alabama,2006,1.3852941176470588
27,Alabama,2007,1.1036290322580644
28,Alabama,2008,1.091469194312796
29,Alabama,2009,0.8542357274401474
30,Alabama,2010,0.5584513692162417
31,Alabama,2011,0.5018772563176895
32,Alabama,2012,0.5215805471124619
33,Alabama,2013,0.46034482758620693
34,Alabama,2014,0.5333085501858735
35,Alabama,2015,0.5302962962962963
36,Alabama,2016,0.5132337246531483
37,Alabama,2017,0.449051094890511
38,Alabama,2018,0.3926272066458983
39,Alabama,2019,0.4226027397260274
40,Alaska,1980,3.300657276995305
41,Alaska,1981,2.9822605169792196
42,Alaska,1982,3.2653751030502884
43,Alaska,1983,3.9561664190193166
44,Alaska,1984,3.6718026796589527
45,Alaska,1985,3.7084615384615383
46,Alaska,1986,3.583824378971693
47,Alaska,1987,3.361044176706827
48,Alaska,1988,3.58484429065744
49,Alaska,1989,3.347146932952924
50,Alaska,1990,3.5312283136710616
51,Alaska,1991,3.0126995645863572
52,Alaska,1992,3.2197064989517816
53,Alaska,1993,3.193758573388203
54,Alaska,1994,3.152231520223152
55,Alaska,1995,3.1902492668621703
56,Alaska,1996,3.2391744548286607
57,Alaska,1997,2.8981436642453593
58,Alaska,1998,3.166991078669911
59,Alaska,1999,2.764047619047619
60,Alaska,2000,2.4349256068911513
61,Alaska,2001,2.366216216216216
62,Alaska,2002,2.0262923351158646
63,Alaska,2003,1.6826589595375723
64,Alaska,2004,1.81552210724365
65,Alaska,2005,1.6277844311377245
66,Alaska,2006,1.390596892886345
67,Alaska,2007,1.2936283185840707
68,Alaska,2008,1.376619718309859
69,Alaska,2009,1.2163636363636363
70,Alaska,2010,1.4460858585858585
71,Alaska,2011,1.0201417004048583
72,Alaska,2012,1.0857589984350546
73,Alaska,2013,0.8855567805953694
74,Alaska,2014,0.9162237762237763
75,Alaska,2015,0.7362549800796813
76,Alaska,2016,0.7497277676950999
77,Alaska,2017,0.7302912621359223
78,Alaska,2018,0.6155844155844156
79,Alaska,2019,0.6437386569872958
80,Arizona,1980,3.381896551724138
