,STATE,Year,NO2 (in ppb)
0,Alabama,1980,61.09462365591398
1,Alabama,1981,35.460732984293195
2,Alabama,1982,41.34444444444444
3,Alabama,1991,30.13186813186813
4,Alabama,1992,27.9746192893401
5,Alabama,1993,25.952293577981653
6,Alabama,1994,25.4
7,Alabama,1995,23.863147792706336
8,Alabama,1996,22.703117505995206
9,Alabama,1997,21.45614035087719
10,Alabama,1998,20.355704697986578
11,Alabama,1999,21.933962264150942
12,Alabama,2000,24.186363636363637
13,Alabama,2001,20.336244541484717
14,Alabama,2002,15.204379562043796
15,Alabama,2003,13.56338028169014
16,Alabama,2004,11.198067632850242
17,Alabama,2005,12.161290322580646
18,Alabama,2013,23.141935483870967
19,Alabama,2014,25.960182370820668
20,Alabama,2015,24.32965838509317
21,Alabama,2016,26.2790625
22,Alabama,2017,21.963124999999998
23,Alabama,2018,22.004473304473304
24,Alabama,2019,24.62591463414634
25,Alaska,1980,10.55378486055777
26,Alaska,1981,22.017341040462426
27,Alaska,1989,11.93918918918919
28,Alaska,1990,12.37984496124031
29,Alaska,1991,10.945454545454545
30,Alaska,2014,23.835028248587573
31,Alaska,2015,22.67026239067055
32,Alaska,2016,23.5715625
33,Alaska,2017,23.121159420289857
34,Alaska,2018,21.861095100864553
35,Alaska,2019,18.948768472906405
36,Arizona,1980,54.19867549668874
37,Arizona,1981,36.965124555160145
38,Arizona,1982,34.323567708333336
39,Arizona,1983,26.159368269921035
40,Arizona,1984,21.659300184162063
41,Arizona,1985,19.33304757822546
42,Arizona,1986,21.710643015521065
43,Arizona,1987,43.71760797342193
44,Arizona,1988,23.598091198303287
45,Arizona,1989,21.953518398967077
46,Arizona,1990,41.58699059561128
47,Arizona,1991,35.54010695187166
48,Arizona,1992,38.953827460510325
49,Arizona,1993,42.775731310942575
50,Arizona,1994,41.63756906077348
51,Arizona,1995,44.70319634703196
52,Arizona,1996,44.61422787738577
53,Arizona,1997,48.113846153846154
54,Arizona,1998,46.99443882709808
55,Arizona,1999,47.71710229106163
56,Arizona,2000,46.43780653950954
57,Arizona,2001,40.54443359375
58,Arizona,2002,39.10202151940006
59,Arizona,2003,36.008372093023254
60,Arizona,2004,35.508662092624355
61,Arizona,2005,33.54289736370617
62,Arizona,2006,32.68233695652174
63,Arizona,2007,36.941978329255505
64,Arizona,2008,35.484924623115575
65,Arizona,2009,33.091701534170156
66,Arizona,2010,32.07758558558559
67,Arizona,2011,33.02874720357942
68,Arizona,2012,34.636444805194806
69,Arizona,2013,31.509867629362216
70,Arizona,2014,30.783327742368336
71,Arizona,2015,27.3320697954272
72,Arizona,2016,28.641754169240272
