,STATE,Year,O3 (in ppm)
0,Alabama,1980,0.04403881439661256
1,Alabama,1981,0.0459265447667087
2,Alabama,1982,0.043533404029692475
3,Alabama,1983,0.04427406049495875
4,Alabama,1984,0.044423292273236284
5,Alabama,1985,0.04370857142857142
6,Alabama,1986,0.04854280338664158
7,Alabama,1987,0.04676252723311546
8,Alabama,1988,0.0478938652615732
9,Alabama,1989,0.04065627376425856
10,Alabama,1990,0.04753440829254247
11,Alabama,1991,0.0389356049667918
12,Alabama,1992,0.04032436384907868
13,Alabama,1993,0.04232343011478731
14,Alabama,1994,0.03876159818216247
15,Alabama,1995,0.04398455824863175
16,Alabama,1996,0.045813926940639266
17,Alabama,1997,0.04529857422421023
18,Alabama,1998,0.04953854748603352
19,Alabama,1999,0.0507876129032258
20,Alabama,2000,0.050155141310883944
21,Alabama,2001,0.04456667260103258
22,Alabama,2002,0.043957953637090326
23,Alabama,2003,0.042919572636889745
24,Alabama,2004,0.04252821541105701
25,Alabama,2005,0.04484918759231906
26,Alabama,2006,0.048448341094295695
27,Alabama,2007,0.048694996986136226
28,Alabama,2008,0.04328401110566716
29,Alabama,2009,0.03828003246753247
30,Alabama,2010,0.04546103459858918
31,Alabama,2011,0.04470003331112592
32,Alabama,2012,0.0437102061507266
33,Alabama,2013,0.03926669002978798
34,Alabama,2014,0.04050981779586061
35,Alabama,2015,0.038682792840687576
36,Alabama,2016,0.04251114332306577
37,Alabama,2017,0.039251388640028674
38,Alabama,2018,0.04003508446259514
39,Alabama,2019,0.040467891513560804
40,Alabama,2020,0.034789013732833954
41,Alaska,1980,0.027472164948453608
42,Alaska,1981,0.02782471264367816
43,Alaska,1983,0.008940476190476191
44,Alaska,1984,0.009496153846153845
45,Alaska,1985,0.016717391304347826
46,Alaska,1987,0.032
47,Alaska,1988,0.033153614457831326
48,Alaska,1989,0.03221544715447154
49,Alaska,1990,0.03216887417218543
50,Alaska,1991,0.032224080267558526
51,Alaska,1992,0.032769679300291545
52,Alaska,1993,0.03316860465116279
53,Alaska,1994,0.03307977207977208
54,Alaska,1995,0.03185422740524781
55,Alaska,1996,0.033870860927152316
56,Alaska,1997,0.03635576923076923
57,Alaska,1998,0.03626857142857143
58,Alaska,1999,0.03325555555555555
59,Alaska,2000,0.028888268156424583
60,Alaska,2001,0.03577839335180055
61,Alaska,2002,0.035292537313432834
62,Alaska,2003,0.03605
63,Alaska,2004,0.03309695290858726
64,Alaska,2005,0.033869806094182824
65,Alaska,2006,0.035825352112676054
66,Alaska,2007,0.034561253561253565
67,Alaska,2008,0.03292372881355932
68,Alaska,2009,0.03586274509803922
69,Alaska,2010,0.029781491002570697
70,Alaska,2011,0.027878755364806867
71,Alaska,2012,0.028508489722966934
72,Alaska,2013,0.028212034383954154
73,Alaska,2014,0.026430751173708918
74,Alaska,2015,0.02785625646328852
75,Alaska,2016,0.028254237288135593
76,Alaska,2017,0.02912111468381565
77,Alaska,2018,0.027298105682951147
78,Alaska,2019,0.02992458100558659
79,Alaska,2020,0.031390243902439025
80,Arizona,1980,0.04490802139037433
81,Arizona,1981,0.040977927063339734
82,Arizona,2019,0.04655290318495536
83,Arizona,2020,0.0405569493226292
84,Arkansas,1980,0.04377358490566038
85,Arkansas,1981,0.03896363636363636
86,Arkansas,1982,0.03750074962518741
87,Arkansas,1983,0.04152130681818182
88,Arkansas,1984,0.04063529411764706
89,Arkansas,1985,0.039121913580246914
90,Arkansas,1986,0.03986963434022257
91,Arkansas,1987,0.0427752808988764
92,Arkansas,1988,0.04300139664804469
93,Arkansas,1989,0.041
94,Arkansas,1990,0.042622201492537315
95,Arkansas,1991,0.03906536636794939
