,STATE,Year,PM10 (in ug/m3 SC)
0,Alabama,1988,38.4309262166405
1,Alabama,1989,32.78034371643394
2,Alabama,1990,32.80726698262243
3,Alabama,1991,30.81781226903178
4,Alabama,1992,28.963122793252257
5,Alabama,1993,27.481772694781988
6,Alabama,1994,26.00801282051282
7,Alabama,1995,26.142946905435124
8,Alabama,1996,23.876634958382876
9,Alabama,1997,24.82590173246237
10,Alabama,1998,27.637898686679176
11,Alabama,1999,30.95038276155373
12,Alabama,2000,31.255138662316476
13,Alabama,2001,26.999316473000682
14,Alabama,2002,26.454084507042253
15,Alabama,2003,28.727183191070257
16,Alabama,2004,27.6578231292517
17,Alabama,2005,29.14674080939141
18,Alabama,2006,28.454545454545453
19,Alabama,2007,31.671140939597315
20,Alabama,2008,25.788400702987698
21,Alabama,2009,20.370384185005594
22,Alabama,2010,23.966328747284578
23,Alabama,2011,22.854605534902934
24,Alabama,2012,18.561099796334013
25,Alabama,2013,16.872074253430185
26,Alabama,2014,18.975406236275802
27,Alabama,2015,18.221772379667115
28,Alabama,2016,18.012894619831037
29,Alabama,2017,16.54164790634849
30,Alabama,2018,17.36795688388045
31,Alabama,2019,19.74918109499298
32,Alaska,1988,20.93288590604027
33,Alaska,1989,21.58223289315726
34,Alaska,1990,23.59066487575554
35,Alaska,1991,25.619802677942214
36,Alaska,1992,26.296463815789473
37,Alaska,1993,22.93531914893617
38,Alaska,1994,21.70656779661017
39,Alaska,1995,22.93660855784469
40,Alaska,1996,23.277654867256636
41,Alaska,1997,22.612565445026178
42,Alaska,1998,20.69539666993144
43,Alaska,1999,17.25195094760312
44,Alaska,2000,18.27848101265823
45,Alaska,2001,18.136288998357966
46,Alaska,2002,19.193929173693085
47,Alaska,2003,25.98068669527897
48,Alaska,2004,19.614864864864863
49,Alaska,2005,21.10706638115632
50,Alaska,2006,18.865248226950353
51,Alaska,2007,18.221719457013574
52,Alaska,2008,18.03872437357631
53,Alaska,2009,17.049357674104126
54,Alaska,2010,15.586792452830188
55,Alaska,2011,14.683042212518195
