State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
US-AK,514513,562022,341545,393028.99,398413.01,408004.01,414144,427228,436549,409828,409365,427227,399626,654740,730992,644483,622917,701515,745392,777019,760636,759857
US-AL,33800566,33544900,35600268,35083496.99,36996866.02,37167512,37232975,35845271,27583496,30984931,28150864,23020491,24400247,23901307,21025451,17448495,16231437,16234892,14244733,11895538,14588460,14635074
US-AR,15109988,14165024,14309814,15318316,14031168,14614055,15629235,15678438,14993987,16537465,17465254,17022704,18765669,19281018,12815424,14066188,15193337,17452295,13763072,9200706,12277290,11925970
US-AZ,20157575,19327973,19378070,20059895,20333080,20506355,21189338,22657527,20762107,23084079,23216812,21460814,23297845,22911006,19812367,16639319,16929036,16813552,12874791,8274361,8419371,8152430
US-CA,897110,970291,889618,924418,872533,898841,960806,992777,878932,892130,811500,539439,259404,277855,,,,,,,,
US-CO,19764973,19446040,19595836,19251209.03,19013117.03,19707008.99,19532855,18961826,17351280,18978981,18744067,19198567,18822170,17877222,17529140,16660627,16628006,15266074,14515416,11476768,13400323,12275303
US-CT,1623330,1507880,2051412,2132461,2070184,2244830,1935600,2221062,1196099,1365666,325472,415027,418568,499319,358722,128303,137443,220578,47528,3658,157874,
US-DC,,,,,,,,,,,,,,,,,,,,,,
US-DE,1480314,1541021,1786783,2054688,2207769.01,2188592.02,2462433,2390982,1352170,1229865,716947,681765,708254,397113,276220,226928,186326,166596,85162,75581,171900,70069
US-FL,28696297,28138927,28331203,27643866.89,26603195.01,27754628.01,28826067,28076690,23466939,25697518,22804796,19931595,20904871.08,23012092.87,19157494.57,17701144.79,16851538.36,13365448.99,9532981,7496395,8304441,7153075
US-GA,30890896,32636792,33349868,36093848,39137498.02,38890321,40803032,39296063,32784856,34268680,28893582,20836259,20633402,22659682,19306704,19271596,16769956,16953323,13551591,7340393,9929525,8858307
US-HI,716330,698429,784972,804277.92,745822,719727.02,777979,837643,790377,742448,724309,753466,692082,769460,696891,775452,759018,734351,716842,669826,634329,379608
US-IA,21305012,21503566,21680437,21873260.02,21072097.04,21236435.02,23018606,24733785,22606894,24779702,22676769,20747246,19517281,19705132,16840440,14289311,14477681,16229800,12786979,8199079,13021828,10549868
US-ID,,,,,,,,,,,,,,,,,,,,,,
US-IL,45732365,49266078,50180030,54078089.03,53821786.04,53938522.03,56487860,57367771,53670025,55382283,53681917,48508526,51995713,51563181,43445590,35430838,34224429,35493118,29152482,17799684,25730152,24351351
US-IN,57397172,57691523,58493336,59458671.19,60010779.38,60582008.08,60755678,61170877,54448665,56348421,52704007,46695557,46670503.29,48582446.62,39106209.11,36084769.56,35551968.45,39143963,30998736.94,24033701.13,27727989.19,26833132.42
US-KS,20150017,22659637,22579986,22138568.99,22046001,20873681.01,22779650,21616305,20782692,20964625,20128520,17759419,18915276,18198644,15851401,14586777,12542106,13175858,11535465,11263098,12594503,13053195
US-KY,41305269,38604897,38521048,39342391.99,40352022.01,41937833.01,41064161,42190776,39271173,41890627,42542656,38978114,39474651,39213757,34380844,32071055,27671332,28566789,25167530,20808581,23805391,22588730
US-LA,14854125,14622569,15462478,15975403,15789718,16336716,15452812,16337017,15721650,16217629,16713023,14746404,13787461,12632390,10776537,8567135,8397844,8110980,5287184,2743408,5555406,5296019
US-MA,4358823,4602830,4389781,4356544.98,5024902,4749689.01,5120267,4580564,3891564,3497164,1762583,953803,1718448,1243802,1005304,907029,558920,,,,,
US-MD,11158140,11244749,11779577,11575516.01,11709652.01,11638354,11883837,11065168,9804743,9845704,8917189,6929551,6789119,7410731,6036309,5992719,3780497,4481491,2676056,1646037,2400564,2119070
