Years,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022,2.132648E11,4.96337E10,3.56417E11,1.265322E11,2.8856273E12,3.858348E11,2.525333E11,6.57548E10,1.292682E11,1.0709302E12,5.912573E11,7.54183E10,8.40029E10,7.979691E11,3.529559E11,1.7709E11,1.649393E11,2.013753E11,2.171558E11,6.47655E10,3.686798E11,5.438716999999999E11,4.903181E11,3.503145E11,1.045353E11,3.006763E11,4.97522E10,1.235396E11,1.654551E11,8.30044E10,5.817042E11,9.46634E10,1.5630437E12,5.595101E11,5.31254E10,6.3891E11,1.913881E11,2.348062E11,7.260356E11,5.54133E10,2.264201E11,4.98092E10,3.67776E11,1.8763278E12,1.919652E11,3.13953E10,5.129463E11,5.821716E11,7.16524E10,3.117021E11,3.63461E10
2021,2.099793E11,5.08694E10,3.47656E11,1.233473E11,2.8747308E12,3.737633E11,2.465559E11,6.44047E10,1.26983E11,1.0295756E12,5.752922E11,7.45472E10,8.00938E10,7.800608E11,3.462409E11,1.79753E11,1.622909E11,1.978183E11,2.211527E11,6.35945E10,3.685711E11,5.331021E11,4.81778E11,3.462043E11,1.043535E11,2.956873E11,4.89762E10,1.221361E11,1.595673E11,8.29863E10,5.668932E11,9.36251E10,1.5147792E12,5.419338000000001E11,5.38036E10,6.29287E11,1.9323E11,2.279791E11,7.109731E11,5.4606E10,2.21045E11,4.95579E10,3.524612E11,1.8150636E12,1.8691E11,3.05468E10,5.05351E11,5.75129E11,7.13432E10,3.064674E11,3.64E10
2020,1.998808E11,5.07052E10,3.27178E11,1.172682E11,2.6672209E12,3.533452E11,2.352349E11,6.22818E10,1.224853E11,9.501644E11,5.376158000000001E11,7.01094E10,7.51455E10,7.34385E11,3.272779E11,1.709574E11,1.583483E11,1.883963E11,2.184217E11,5.98814E10,3.52384E11,5.00001E11,4.484553E11,3.284895E11,1.005269E11,2.827541E11,4.67504E10,1.181415E11,1.464925E11,7.59276E10,5.353236999999999E11,9.24963E10,1.432507E12,5.066581E11,5.36536E10,5.941436E11,1.924855E11,2.157436E11,6.809574E11,5.15161E10,2.082341E11,4.74024E10,3.23454E11,1.747562E12,1.749547E11,2.90646E10,4.789093E11,5.388561E11,7.04442E10,2.931049E11,3.62686E10
2019,2.034327E11,5.34338E10,3.253953E11,1.171262E11,2.7292258E12,3.584385E11,2.515682E11,6.41435E10,1.245972E11,9.656725E11,5.573644E11,7.92134E10,7.41626E10,7.759981E11,3.379022E11,1.73722E11,1.598262E11,1.929719E11,2.370446E11,5.95534E10,3.680564E11,5.141708E11,4.67107E11,3.405571E11,1.009828E11,2.906195E11,4.68862E10,1.186037E11,1.569591E11,7.68191E10,5.596488E11,9.48974E10,1.5008334E12,5.128348E11,5.63854E10,6.132514E11,2.011615E11,2.19588E11,7.150607E11,5.34114E10,2.132378E11,4.66505E10,3.311766E11,1.7797814E12,1.720384E11,2.99407E10,4.891991E11,5.331504E11,7.26334E10,3.03669E11,3.84466E10
2018,2.003726E11,5.3327E10,3.148275E11,1.158852E11,2.6440612E12,3.427332E11,2.490748E11,6.14251E10,1.236805E11,9.416267E11,5.386046E11,7.98453E10,7.08573E10,7.716955E11,3.363271E11,1.735477E11,1.587344E11,1.879266E11,2.372983E11,5.80999E10,3.679774E11,5.015415E11,4.665594E11,3.368922E11,1.008727E11,2.845403E11,4.65841E10,1.167929E11,1.50448E11,7.5433E10,5.500595E11,9.09336E10,1.4583824E12,5.015649E11,5.59142E10,5.979255E11,1.974532E11,2.149025E11,7.040278E11,5.25533E10,2.071012E11,4.63003E10,3.235416E11,1.728304E12,1.646221E11,2.96022E10,4.779152E11,5.150291E11,7.31704E10,2.990626E11,3.80801E10
2017,1.969749E11,5.42787E10,3.036061E11,1.138502E11,2.538204E12,3.299133E11,2.470359E11,6.03575E10,1.207594E11,9.126874E11,5.238053E11,7.89474E10,6.6941E10,7.53027E11,3.249976E11,1.708875E11,1.555147E11,1.859206E11,2.333517E11,5.64694E10,3.662044E11,4.828084E11,4.57614E11,3.274832E11,1.012453E11,2.812533E11,4.59743E10,1.141439E11,1.454855E11,7.39727E10,5.375785E11,8.89629E10,1.4191121E12,4.952213E11,5.41871E10,5.93636E11,1.940172E11,2.05524E11,6.948666E11,5.26918E10,2.025124E11,4.57758E10,3.189639E11,1.6594533E12,1.547583E11,2.94906E10,4.67362E11,4.82007E11,7.14256E10,2.919227E11,3.75216E10
2016,1.942838E11,5.42466E10,2.912752E11,1.127981E11,2.4278946E12,3.189534E11,2.432867E11,6.30013E10,1.196443E11,8.815392E11,5.068162E11,7.73039E10,6.5479E10,7.493335E11,3.196015E11,1.703891E11,1.536953E11,1.84115E11,2.284285E11,5.55654E10,3.60082E11,4.75349E11,4.523252E11,3.240303E11,1.012553E11,2.791092E11,4.44368E10,1.126115E11,1.400812E11,7.35722E10,5.350553000000001E11,8.91514E10,1.4032305E12,4.829689E11,5.29746E10,5.839464E11,1.930251E11,1.980793E11,6.883594E11,5.29026E10,1.980057E11,4.6076E10,3.101432E11,1.6199542E12,1.479623E11,2.94081E10,4.599658E11,4.582638E11,7.00114E10,2.919203E11,3.81887E10
2015,1.913352E11,5.47408E10,2.82577E11,1.12351E11,2.3574529E12,3.124097E11,2.427065E11,6.67935E10,1.168084E11,8.522424E11,4.891823E11,7.58695E10,6.30812E10,7.517549E11,3.137512E11,1.711265E11,1.488105E11,1.82916E11,2.33016E11,5.44258E10,3.481518E11,4.680609E11,4.438312E11,3.189132E11,1.004824E11,2.790208E11,4.53957E10,1.114015E11,1.363474E11,7.20424E10,5.299536999999999E11,8.97013E10,1.373643E12,4.750966E11,5.65424E10,5.788524E11,1.970719E11,1.899465E11,6.824661E11,5.28191E10,1.920199E11,4.56645E10,3.044842E11,1.6059017E12,1.417205E11,2.9119E10,4.551624E11,4.419521E11,7.0663E10,2.89077E11,4.04182E10
2014,1.898863E11,5.41882E10,2.769489E11,1.117345E11,2.2560547E12,2.986553E11,2.357809E11,6.49401E10,1.145536E11,8.172335E11,4.700097E11,7.35124E10,6.2454E10,7.41194E11,3.167831E11,1.666192E11,1.453441E11,1.814718E11,2.353551E11,5.40379E10,3.396046E11,4.515689E11,4.343132E11,3.140913E11,1.002836E11,2.760807E11,4.38291E10,1.079368E11,1.308974E11,7.02137E10,5.221664E11,8.89912E10,1.3534104E12,4.622531E11,5.779E10,5.741779E11,1.8936E11,1.812206E11,6.696431E11,5.22934E10,1.859869E11,4.48465E10,2.941301E11,1.5296171E12,1.369937E11,2.89122E10,4.476781E11,4.244676E11,7.05325E10,2.839811E11,3.95594E10
2013,1.913698E11,5.53543E10,2.734819E11,1.107524E11,2.179229E12,2.862591E11,2.360506E11,6.02358E10,1.123324E11,7.948421E11,4.549089E11,7.30632E10,6.06312E10,7.26125E11,3.072791E11,1.584808E11,1.417234E11,1.815059E11,2.284528E11,5.32391E10,3.342689E11,4.44874E11,4.287376E11,3.054864E11,1.003312E11,2.745993E11,4.29682E10,1.0468E11,1.297209E11,6.90803E10,5.237258E11,8.68566E10,1.3293763E12,4.520562E11,5.28924E10,5.562105E11,1.776989E11,1.759338E11,6.559292E11,5.19108E10,1.808816E11,4.41474E10,2.897946E11,1.4847001E12,1.331129E11,2.86815E10,4.490638E11,4.108739E11,7.05501E10,2.78015E11,3.88496E10
