,STATE,Year,Lead (in ug/m3 LC)
0,Alabama,1980,1.2316831683168317
1,Alabama,1981,0.8234539473684211
2,Alabama,1982,0.8457574999999999
3,Alabama,1983,0.8658318785578748
4,Alabama,1984,1.219908466819222
5,Alabama,1985,0.6802952983725136
6,Alabama,1986,0.6147662587412588
7,Alabama,1987,0.7461061415220294
8,Alabama,1988,1.0598049088359045
9,Alabama,1989,0.943093415007657
10,Alabama,1990,0.6798437500000001
11,Alabama,1991,0.5735517241379311
12,Alabama,2002,0.003835714285714286
13,Alabama,2003,0.003371559633027523
14,Alabama,2005,0.17671940298507463
15,Alabama,2006,0.23240000000000002
16,Alabama,2007,0.7054451612903226
17,Alabama,2008,0.5759603960396039
18,Alabama,2009,0.4130727272727273
19,Alabama,2010,0.6012020202020202
20,Alabama,2011,0.6212641509433963
21,Alabama,2012,0.23559861591695505
22,Alabama,2013,0.07168558951965065
23,Alabama,2014,0.03196069868995633
24,Alabama,2015,0.03294042553191489
25,Alabama,2016,0.045160220994475135
26,Alabama,2017,0.05960683760683761
27,Alabama,2018,0.06627586206896552
28,Alabama,2019,0.08451785714285713
29,Alaska,1980,0.6182914572864322
30,Alaska,1981,0.5697478991596638
31,Alaska,1982,0.46778242677824267
32,Alaska,1983,0.48208955223880595
33,Alaska,1984,0.4794193548387097
34,Alaska,1985,0.2884496
35,Alaska,1986,0.18589111111111112
36,Alaska,1987,0.09655121951219513
37,Alaska,1988,0.02666666666666667
38,Alaska,2010,0.003
39,Alaska,2011,0.018808510638297873
40,Alaska,2012,0.05455555555555556
41,Arizona,1980,0.2508694779116466
42,Arizona,1981,0.23444858919177428
43,Arizona,1982,0.15344474529600735
44,Arizona,1983,0.27110782761653474
45,Arizona,1984,0.2372911585365854
46,Arizona,1985,0.21583564463705307
47,Arizona,1986,0.16475826612903227
48,Arizona,1987,0.10308583333333333
49,Arizona,1988,0.06389722222222222
50,Arizona,1989,0.07184210526315789
51,Arizona,1990,0.057161290322580646
52,Arizona,1991,0.05026600985221675
53,Arizona,1992,0.03008920187793427
54,Arizona,1993,0.026308370044052867
55,Arizona,1994,0.02481858407079646
56,Arizona,1995,0.025218340611353713
57,Arizona,1996,0.02767873303167421
58,Arizona,1997,0.019103703703703706
59,Arizona,2010,0.021500000000000002
60,Arizona,2011,0.07597647058823528
61,Arizona,2012,0.056674622356495466
62,Arizona,2013,0.033840053050397875
63,Arizona,2014,0.03963258145363408
64,Arizona,2015,0.03185220588235294
65,Arizona,2016,0.04828032786885246
66,Arizona,2017,0.07260705596107056
67,Arizona,2018,0.062248138957816376
68,Arizona,2019,0.06179447852760736
69,Arkansas,1981,0.1752735294117647
70,Arkansas,1982,0.38896
71,Arkansas,1983,0.3411810650887574
72,Arkansas,1984,0.27963030303030306
73,Arkansas,1985,0.19049194630872482
74,Arkansas,1986,0.15208333333333332
75,Arkansas,1987,0.14183333333333334
76,Arkansas,1988,0.11760869565217391
77,Arkansas,1989,0.10370689655172413
